Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PVP L- Carbon disulfide-Cyclohexane-1,2dichlorobenzene-Xylene,,,,,,
Reactor1,14.9 mg/ml PVP L in  Carbon disulfide,,,,,,,
Reactor2,14.9 mg/ml PVP L in Cyclohexane,,,,,,,
Reactor3,15.1 mg/ml PVP L in 1,2dichlorobenzene,,,,,,
Reactor4,15.1 mg/ml PVP L in Xylene,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,MW 14K,,,,,,,
polymer_ids,PVP L:32,,,,,,,
solvent_ids,Carbon disulfide:30,Cyclohexane:32,"1,2dichlorobenzene:39",Xylene:38,,,,
Start of Experiment,11/17/23 13:12,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,17, sec,,,,
Tune,,,,,,,,
Stir (Bottom) at,900, rpm,,,,,,
11/18/23 1:33,12:20:34,10,10,100,55,100,100,0
11/18/23 1:33,12:20:35,10,10,100,55,100,100,0
11/18/23 1:33,12:20:36,10,10,100,55,100,100,0
11/18/23 1:33,12:20:37,10,10,100,55,100,100,0
11/18/23 1:33,12:20:38,10,10,100,55,100,100,0
11/18/23 1:33,12:20:39,10,10,100,56,100,100,0
11/18/23 1:33,12:20:42,10,10,100,56,100,100,0
11/18/23 1:33,12:20:44,10,10,100,56,100,100,0
11/18/23 1:33,12:20:45,10,10,100,56,100,100,0
11/18/23 1:33,12:20:46,10,10,100,56,100,100,0
11/18/23 1:33,12:20:47,10,10,100,56,100,100,0
11/18/23 1:33,12:20:48,10,10,100,56,100,100,0
11/18/23 1:33,12:20:50,10,10,100,56,100,100,0
11/18/23 1:33,12:20:51,10,10,100,56,100,100,0
11/18/23 1:33,12:20:53,10,10,100,56,100,100,0
11/18/23 1:33,12:21:00,10,10,100,56,100,100,0
11/18/23 1:33,12:21:03,10,10,100,56,100,100,0
11/18/23 1:33,12:21:04,10,10,100,56,100,100,0
11/18/23 1:33,12:21:07,10,10,100,56,100,100,0
11/18/23 1:33,12:21:10,10,10,100,56,100,100,0
11/18/23 1:33,12:21:17,10,10,100,56,100,100,0
11/18/23 1:33,12:21:18,10,10,100,57,100,100,0
11/18/23 1:33,12:21:21,10,10,100,57,100,100,0
11/18/23 1:33,12:21:22,10,10,100,57,100,100,0
11/18/23 1:33,12:21:23,10,10,100,57,100,100,0
11/18/23 1:34,12:21:29,10,10,100,57,100,100,0
11/18/23 1:34,12:21:32,10,10,100,57,100,100,0
11/18/23 1:34,12:21:33,10,10,100,57,100,100,0
11/18/23 1:34,12:21:34,10,10,100,57,100,100,0
11/18/23 1:34,12:21:36,10,10,100,57,100,100,0
11/18/23 1:34,12:21:37,10,10,100,57,100,100,0
11/18/23 1:34,12:21:39,10,10,100,57,100,100,0
11/18/23 1:34,12:21:43,10,10,100,57,100,100,0
11/18/23 1:34,12:21:44,10,10,100,57,100,100,0
11/18/23 1:34,12:21:45,10,10,100,57,100,100,0
11/18/23 1:34,12:21:47,10,10,100,57,100,100,0
11/18/23 1:34,12:21:49,10,10,100,57,100,100,0
11/18/23 1:34,12:21:50,10,10,100,57,100,100,0
11/18/23 1:34,12:21:51,10,10,100,57,100,100,0
11/18/23 1:34,12:21:52,10,10,100,57,100,100,0
11/18/23 1:34,12:21:53,10,10,100,57,100,100,0
11/18/23 1:34,12:21:54,10,10,100,57,100,100,0
11/18/23 1:34,12:21:57,10,10,100,57,100,100,0
11/18/23 1:34,12:21:58,10,10,100,57,100,100,0
11/18/23 1:34,12:21:59,10,10,100,57,100,100,0
11/18/23 1:34,12:22:00,10,10,100,57,100,100,0
11/18/23 1:34,12:22:01,10,10,100,57,100,100,0
11/18/23 1:34,12:22:03,10,10,100,57,100,100,0
11/18/23 1:34,12:22:04,10,10,100,57,100,100,0
11/18/23 1:34,12:22:05,10,10,100,57,100,100,0
11/18/23 1:34,12:22:06,10,10,100,57,100,100,0
11/18/23 1:34,12:22:10,10,10,100,57,100,100,0
11/18/23 1:34,12:22:11,10,10,100,57,100,100,0
11/18/23 1:34,12:22:14,10,10,100,57,100,100,0
11/18/23 1:34,12:22:15,10,10,100,57,100,100,0
11/18/23 1:34,12:22:16,10,10,100,57,100,100,0
11/18/23 1:34,12:22:17,10,10,100,57,100,100,0
11/18/23 1:34,12:22:18,10,10,100,57,100,100,0
11/18/23 1:34,12:22:19,10,10,100,57,100,100,0
11/18/23 1:34,12:22:20,10,10,100,57,100,100,0
11/18/23 1:34,12:22:21,10,10,100,57,100,100,0
11/18/23 1:34,12:22:22,10,10,100,57,100,100,0
11/18/23 1:34,12:22:24,10,10,100,57,100,100,0
11/18/23 1:34,12:22:26,10,10,100,57,100,100,0
11/18/23 1:34,12:22:28,10,10,100,57,100,100,0
11/18/23 1:35,12:22:29,10,10,100,57,100,100,0
11/18/23 1:35,12:22:30,10,10,100,57,100,100,0
11/18/23 1:35,12:22:31,10,10,100,57,100,100,0
11/18/23 1:35,12:22:32,10,10,100,57,100,100,0
11/18/23 1:35,12:22:33,10,10,100,57,100,100,0
11/18/23 1:35,12:22:35,10,10,100,57,100,100,0
11/18/23 1:35,12:22:39,10,10,100,57,100,100,0
11/18/23 1:35,12:22:41,10,10,100,57,100,100,0
11/18/23 1:35,12:22:43,10,10,100,57,100,100,0
11/18/23 1:35,12:22:44,10,10,100,57,100,100,0
11/18/23 1:35,12:22:45,10,10,100,57,100,100,0
11/18/23 1:35,12:22:46,10,10,100,57,100,100,0
11/18/23 1:35,12:22:48,10,10,100,57,100,100,0
11/18/23 1:35,12:22:50,10,10,100,57,100,100,0
11/18/23 1:35,12:22:55,10,10,100,57,100,100,0
11/18/23 1:35,12:22:57,10,10,100,57,100,100,0
11/18/23 1:35,12:22:58,10,10,100,57,100,100,0
11/18/23 1:35,12:23:00,10,10,100,57,100,100,0
11/18/23 1:35,12:23:01,10,10,100,57,100,100,0
11/18/23 1:35,12:23:02,10,10,100,57,100,100,0
11/18/23 1:35,12:23:04,10,10,100,57,100,100,0
11/18/23 1:35,12:23:05,10.1,10,100,57,100,100,0
11/18/23 1:35,12:23:12,10.1,10,100,57,100,100,0
11/18/23 1:35,12:23:13,10.1,10,100,57,100,100,0
11/18/23 1:35,12:23:14,10.1,10.1,100,57,100,100,0
11/18/23 1:35,12:23:15,10.1,10.1,100,57,100,100,0
11/18/23 1:35,12:23:17,10.2,10.1,100,57,100,100,0
11/18/23 1:35,12:23:18,10.2,10.1,100,57,100,100,0
11/18/23 1:35,12:23:19,10.2,10.1,100,57,100,100,0
11/18/23 1:35,12:23:21,10.2,10.1,100,57,100,100,0
11/18/23 1:35,12:23:22,10.2,10.1,100,57,100,100,0
11/18/23 1:35,12:23:23,10.2,10.1,100,57,100,100,0
11/18/23 1:35,12:23:24,10.2,10.1,100,57,100,100,0
11/18/23 1:35,12:23:28,10.2,10.1,100,57,100,100,0
11/18/23 1:36,12:23:29,10.3,10.2,100,57,100,100,0
11/18/23 1:36,12:23:30,10.3,10.1,100,57,100,100,0
11/18/23 1:36,12:23:31,10.3,10.2,100,57,100,100,0
11/18/23 1:36,12:23:32,10.3,10.2,100,57,100,100,0
11/18/23 1:36,12:23:34,10.3,10.2,100,57,100,100,0
11/18/23 1:36,12:23:35,10.3,10.2,100,57,100,100,0
11/18/23 1:36,12:23:42,10.4,10.2,100,57,100,100,0
11/18/23 1:36,12:23:43,10.4,10.3,100,57,100,100,0
11/18/23 1:36,12:23:50,10.4,10.3,100,57,100,100,0
11/18/23 1:36,12:23:52,10.4,10.3,100,57,100,100,0
11/18/23 1:36,12:23:54,10.5,10.3,100,57,100,100,0
11/18/23 1:36,12:23:55,10.5,10.4,100,57,100,100,0
11/18/23 1:36,12:24:01,10.5,10.4,100,57,100,100,0
11/18/23 1:36,12:24:02,10.5,10.4,100,57,100,100,0
11/18/23 1:36,12:24:05,10.6,10.4,100,57,100,100,0
11/18/23 1:36,12:24:06,10.6,10.4,100,57,100,100,0
11/18/23 1:36,12:24:07,10.6,10.5,100,57,100,100,0
11/18/23 1:36,12:24:17,10.7,10.5,100,57,100,100,0
11/18/23 1:36,12:24:18,10.7,10.5,100,57,100,100,0
11/18/23 1:36,12:24:19,10.7,10.6,100,57,100,100,0
11/18/23 1:36,12:24:25,10.7,10.6,100,57,100,100,0
11/18/23 1:36,12:24:26,10.7,10.7,100,57,100,100,0
11/18/23 1:36,12:24:27,10.7,10.6,100,57,100,100,0
11/18/23 1:37,12:24:29,10.8,10.6,100,57,100,100,0
11/18/23 1:37,12:24:30,10.8,10.7,100,57,100,100,0
11/18/23 1:37,12:24:31,10.8,10.7,100,57,100,100,0
11/18/23 1:37,12:24:35,10.8,10.7,100,57,100,100,0
11/18/23 1:37,12:24:40,10.8,10.7,100,57,100,100,0
11/18/23 1:37,12:24:41,10.9,10.7,100,57,100,100,0
11/18/23 1:37,12:24:42,10.9,10.7,100,57,100,100,0
11/18/23 1:37,12:24:43,10.9,10.7,100,57,100,100,0
11/18/23 1:37,12:24:44,10.9,10.8,100,57,100,100,0
11/18/23 1:37,12:24:53,11,10.8,100,57,100,100,0
11/18/23 1:37,12:24:54,11,10.8,100,57,100,100,0
11/18/23 1:37,12:24:55,11,10.9,100,57,100,100,0
11/18/23 1:37,12:24:56,11,10.9,100,57,100,100,0
11/18/23 1:37,12:24:59,11,10.9,100,57,100,100,0
11/18/23 1:37,12:25:04,11,10.9,100,57,100,100,0
11/18/23 1:37,12:25:05,11,11,100,57,100,100,0
11/18/23 1:37,12:25:06,11.1,10.9,100,57,100,100,0
11/18/23 1:37,12:25:08,11.1,10.9,100,57,100,100,0
11/18/23 1:37,12:25:09,11.1,11,100,57,100,100,0
11/18/23 1:37,12:25:13,11.1,11,100,57,100,100,0
11/18/23 1:37,12:25:14,11.1,11,100,57,100,100,0
11/18/23 1:37,12:25:16,11.1,11,100,57,100,100,0
11/18/23 1:37,12:25:17,11.1,11,100,57,100,100,0
11/18/23 1:37,12:25:18,11.2,11,100,57,100,100,0
11/18/23 1:37,12:25:19,11.2,11,100,57,100,100,0
11/18/23 1:37,12:25:20,11.2,11.1,100,57,100,100,0
11/18/23 1:37,12:25:21,11.2,11.1,100,57,100,100,0
11/18/23 1:37,12:25:22,11.2,11.1,100,57,100,100,0
11/18/23 1:37,12:25:27,11.2,11.1,100,57,100,100,0
11/18/23 1:37,12:25:28,11.2,11.1,100,57,100,100,0
11/18/23 1:38,12:25:29,11.3,11.1,100,57,100,100,0
11/18/23 1:38,12:25:30,11.3,11.1,100,56,100,100,0
11/18/23 1:38,12:25:31,11.3,11.1,100,56,100,100,0
11/18/23 1:38,12:25:32,11.3,11.2,100,55,100,100,0
11/18/23 1:38,12:25:33,11.3,11.2,100,54,100,100,0
11/18/23 1:38,12:25:34,11.3,11.2,100,53,100,100,0
11/18/23 1:38,12:25:35,11.3,11.2,100,52,100,100,0
11/18/23 1:38,12:25:36,11.3,11.2,100,51,100,100,0
11/18/23 1:38,12:25:41,11.4,11.2,100,51,100,100,0
11/18/23 1:38,12:25:42,11.4,11.2,100,51,100,100,0
11/18/23 1:38,12:25:43,11.4,11.3,100,51,100,100,0
11/18/23 1:38,12:25:52,11.4,11.3,100,51,100,100,0
11/18/23 1:38,12:25:53,11.5,11.4,100,51,100,100,0
11/18/23 1:38,12:25:54,11.5,11.3,100,51,100,100,0
11/18/23 1:38,12:25:55,11.5,11.4,100,51,100,100,0
11/18/23 1:38,12:26:05,11.6,11.4,100,51,100,100,0
11/18/23 1:38,12:26:06,11.6,11.4,100,51,100,100,0
11/18/23 1:38,12:26:07,11.6,11.5,100,51,100,100,0
11/18/23 1:38,12:26:18,11.7,11.5,100,51,100,100,0
11/18/23 1:38,12:26:20,11.7,11.5,100,51,100,100,0
11/18/23 1:38,12:26:21,11.7,11.6,100,51,100,100,0
11/18/23 1:39,12:26:30,11.8,11.6,100,51,100,100,0
11/18/23 1:39,12:26:31,11.8,11.7,100,51,100,100,0
11/18/23 1:39,12:26:41,11.9,11.7,100,51,100,100,0
11/18/23 1:39,12:26:42,11.9,11.8,100,51,100,100,0
11/18/23 1:39,12:26:53,12,11.8,100,51,100,100,0
11/18/23 1:39,12:26:54,12,11.9,100,51,100,100,0
11/18/23 1:39,12:27:03,12,11.9,100,51,100,100,0
11/18/23 1:39,12:27:05,12.1,11.9,100,51,100,100,0
11/18/23 1:39,12:27:06,12.1,11.9,100,51,100,100,0
11/18/23 1:39,12:27:07,12.1,12,100,51,100,100,0
11/18/23 1:39,12:27:11,12.1,12,100,51,100,100,0
11/18/23 1:39,12:27:12,12.1,12,100,51,100,100,0
11/18/23 1:39,12:27:13,12.1,12,100,51,100,100,0
11/18/23 1:39,12:27:15,12.1,12,100,51,100,100,0
11/18/23 1:39,12:27:17,12.2,12,100,51,100,100,0
11/18/23 1:39,12:27:18,12.2,12.1,100,51,100,100,0
11/18/23 1:40,12:27:29,12.3,12.1,100,51,100,100,0
11/18/23 1:40,12:27:30,12.3,12.2,100,51,100,100,0
11/18/23 1:40,12:27:32,12.3,12.2,100,51,100,100,0
11/18/23 1:40,12:27:34,12.3,12.2,100,51,100,100,0
11/18/23 1:40,12:27:41,12.3,12.2,100,51,100,100,0
11/18/23 1:40,12:27:42,12.4,12.3,100,51,100,100,0
11/18/23 1:40,12:27:53,12.5,12.3,100,51,100,100,0
11/18/23 1:40,12:27:54,12.5,12.4,100,51,100,100,0
11/18/23 1:40,12:27:58,12.5,12.4,100,51,100,100,0
11/18/23 1:40,12:27:59,12.5,12.4,100,51,100,100,0
11/18/23 1:40,12:28:02,12.5,12.4,100,51,100,100,0
11/18/23 1:40,12:28:04,12.5,12.4,100,51,100,100,0
11/18/23 1:40,12:28:05,12.6,12.4,100,51,100,100,0
11/18/23 1:40,12:28:06,12.6,12.5,100,51,100,100,0
11/18/23 1:40,12:28:07,12.6,12.5,100,51,100,100,0
11/18/23 1:40,12:28:17,12.7,12.5,100,51,100,100,0
11/18/23 1:40,12:28:18,12.7,12.6,100,51,100,100,0
11/18/23 1:40,12:28:22,12.7,12.6,100,51,100,100,0
11/18/23 1:40,12:28:23,12.7,12.6,100,51,100,100,0
11/18/23 1:41,12:28:29,12.8,12.6,100,51,100,100,0
11/18/23 1:41,12:28:30,12.8,12.7,100,51,100,100,0
11/18/23 1:41,12:28:31,12.8,12.7,100,51,100,100,0
11/18/23 1:41,12:28:38,12.8,12.7,100,51,100,100,0
11/18/23 1:41,12:28:39,12.8,12.7,100,51,100,100,0
11/18/23 1:41,12:28:40,12.8,12.7,100,51,100,100,0
11/18/23 1:41,12:28:41,12.9,12.8,100,51,100,100,0
11/18/23 1:41,12:28:47,12.9,12.8,100,51,100,100,0
11/18/23 1:41,12:28:48,12.9,12.8,100,51,100,100,0
11/18/23 1:41,12:28:53,13,12.8,100,51,100,100,0
11/18/23 1:41,12:28:54,13,12.9,100,51,100,100,0
11/18/23 1:41,12:28:55,13,12.9,100,51,100,100,0
11/18/23 1:41,12:28:57,13,12.9,100,51,100,100,0
11/18/23 1:41,12:29:00,13,12.9,100,51,100,100,0
11/18/23 1:41,12:29:01,13,12.9,100,51,100,100,0
11/18/23 1:41,12:29:03,13,12.9,100,51,100,100,0
11/18/23 1:41,12:29:04,13,13,100,51,100,100,0
11/18/23 1:41,12:29:05,13.1,13,100,51,100,100,0
11/18/23 1:41,12:29:16,13.1,13,100,51,100,100,0
11/18/23 1:41,12:29:17,13.2,13.1,100,51,100,100,0
11/18/23 1:42,12:29:29,13.3,13.1,100,51,100,100,0
11/18/23 1:42,12:29:30,13.3,13.2,100,51,100,100,0
11/18/23 1:42,12:29:41,13.4,13.2,100,51,100,100,0
11/18/23 1:42,12:29:42,13.4,13.3,100,51,100,100,0
11/18/23 1:42,12:29:43,13.4,13.3,100,52,100,100,0
11/18/23 1:42,12:29:44,13.4,13.3,100,52,100,100,0
11/18/23 1:42,12:29:45,13.4,13.3,100,51,100,100,0
11/18/23 1:42,12:29:46,13.4,13.3,100,52,100,100,0
11/18/23 1:42,12:29:47,13.4,13.3,100,52,100,100,0
11/18/23 1:42,12:29:48,13.4,13.3,100,51,100,100,0
11/18/23 1:42,12:29:49,13.4,13.3,100,51,100,100,0
11/18/23 1:42,12:29:50,13.4,13.3,100,52,100,100,0
11/18/23 1:42,12:29:52,13.4,13.3,100,52,100,100,0
11/18/23 1:42,12:29:53,13.5,13.4,100,52,100,100,0
11/18/23 1:42,12:30:04,13.5,13.4,100,52,100,100,0
11/18/23 1:42,12:30:05,13.6,13.5,100,52,100,100,0
11/18/23 1:42,12:30:16,13.6,13.5,100,52,100,100,0
11/18/23 1:42,12:30:17,13.7,13.6,100,52,100,100,0
11/18/23 1:42,12:30:18,13.7,13.5,100,52,100,100,0
11/18/23 1:42,12:30:19,13.7,13.6,100,52,100,100,0
11/18/23 1:42,12:30:27,13.7,13.6,100,52,100,100,0
11/18/23 1:42,12:30:28,13.7,13.7,100,52,100,100,0
11/18/23 1:43,12:30:29,13.8,13.7,100,52,100,100,0
11/18/23 1:43,12:30:30,13.8,13.7,100,52,99,100,0
11/18/23 1:43,12:30:31,13.8,13.7,100,52,99,100,0
11/18/23 1:43,12:30:32,13.8,13.7,100,52,100,100,0
11/18/23 1:43,12:30:33,13.8,13.7,100,52,99,100,0
11/18/23 1:43,12:30:39,13.8,13.7,100,52,99,100,0
11/18/23 1:43,12:30:40,13.8,13.7,100,52,99,100,0
11/18/23 1:43,12:30:41,13.9,13.8,100,52,99,100,0
11/18/23 1:43,12:30:44,13.9,13.8,100,52,99,100,0
11/18/23 1:43,12:30:45,13.9,13.8,100,52,99,100,0
11/18/23 1:43,12:30:47,13.9,13.8,100,52,99,100,0
11/18/23 1:43,12:30:50,13.9,13.8,100,52,99,100,0
11/18/23 1:43,12:30:51,13.9,13.9,100,52,99,100,0
11/18/23 1:43,12:30:52,13.9,13.8,100,52,99,100,0
11/18/23 1:43,12:30:53,14,13.9,100,52,99,100,0
11/18/23 1:43,12:30:58,14,13.9,100,52,99,100,0
11/18/23 1:43,12:30:59,14,13.9,100,52,99,100,0
11/18/23 1:43,12:31:02,14,13.9,100,52,99,100,0
11/18/23 1:43,12:31:03,14,14,100,52,99,100,0
11/18/23 1:43,12:31:04,14,14,100,52,98,100,0
11/18/23 1:43,12:31:05,14.1,14,100,52,98,100,0
11/18/23 1:43,12:31:07,14.1,14,100,52,98,100,0
11/18/23 1:43,12:31:12,14.1,14,100,52,98,100,0
11/18/23 1:43,12:31:14,14.1,14,100,52,98,100,0
11/18/23 1:43,12:31:15,14.1,14.1,100,52,98,100,0
11/18/23 1:43,12:31:16,14.2,14.1,100,52,98,100,0
11/18/23 1:43,12:31:17,14.2,14.1,100,52,98,100,0
11/18/23 1:43,12:31:18,14.2,14.1,100,52,97,100,0
11/18/23 1:43,12:31:19,14.2,14.1,100,52,97,100,0
11/18/23 1:43,12:31:20,14.2,14.1,100,52,97,100,0
11/18/23 1:43,12:31:27,14.2,14.1,100,52,97,100,0
11/18/23 1:43,12:31:28,14.2,14.2,100,52,97,100,0
11/18/23 1:44,12:31:29,14.3,14.2,100,52,97,100,0
11/18/23 1:44,12:31:30,14.3,14.1,100,52,97,100,0
11/18/23 1:44,12:31:31,14.3,14.2,100,52,97,100,0
11/18/23 1:44,12:31:37,14.3,14.2,100,52,97,100,0
11/18/23 1:44,12:31:38,14.3,14.2,100,52,97,100,0
11/18/23 1:44,12:31:40,14.3,14.2,100,52,97,100,0
11/18/23 1:44,12:31:41,14.4,14.3,100,52,97,100,0
11/18/23 1:44,12:31:50,14.4,14.3,100,52,97,100,0
11/18/23 1:44,12:31:51,14.4,14.3,100,52,97,100,0
11/18/23 1:44,12:31:52,14.4,14.3,100,52,97,100,0
11/18/23 1:44,12:31:53,14.5,14.4,100,52,97,100,0
11/18/23 1:44,12:31:55,14.5,14.4,100,52,97,100,0
11/18/23 1:44,12:31:56,14.5,14.4,100,52,97,100,0
11/18/23 1:44,12:32:05,14.6,14.4,100,52,97,100,0
11/18/23 1:44,12:32:06,14.6,14.5,100,52,97,100,0
11/18/23 1:44,12:32:14,14.6,14.5,100,52,97,100,0
11/18/23 1:44,12:32:15,14.6,14.6,100,52,97,100,0
11/18/23 1:44,12:32:16,14.6,14.5,100,52,97,100,0
11/18/23 1:44,12:32:17,14.7,14.6,100,52,97,100,0
11/18/23 1:44,12:32:18,14.7,14.5,100,52,97,100,0
11/18/23 1:44,12:32:19,14.7,14.6,100,52,97,100,0
11/18/23 1:44,12:32:24,14.7,14.6,100,52,97,100,0
11/18/23 1:44,12:32:25,14.7,14.6,100,52,97,100,0
11/18/23 1:44,12:32:26,14.7,14.6,100,52,97,100,0
11/18/23 1:44,12:32:27,14.7,14.7,100,52,97,100,0
11/18/23 1:44,12:32:28,14.8,14.7,100,52,97,100,0
11/18/23 1:45,12:32:29,14.8,14.7,100,52,97,100,0
11/18/23 1:45,12:32:30,14.8,14.7,100,52,97,100,0
11/18/23 1:45,12:32:35,14.8,14.7,100,52,97,100,0
11/18/23 1:45,12:32:36,14.8,14.7,100,52,96,100,0
11/18/23 1:45,12:32:38,14.8,14.7,100,52,96,100,0
11/18/23 1:45,12:32:39,14.8,14.8,100,52,96,100,0
11/18/23 1:45,12:32:40,14.9,14.8,100,52,96,100,0
11/18/23 1:45,12:32:51,14.9,14.8,100,52,96,100,0
11/18/23 1:45,12:32:52,14.9,14.9,100,52,96,100,0
11/18/23 1:45,12:32:53,15,14.9,100,52,96,100,0
11/18/23 1:45,12:32:56,15,14.9,100,52,96,100,0
11/18/23 1:45,12:32:57,15,14.9,100,52,96,100,0
11/18/23 1:45,12:32:59,15,14.9,100,52,96,100,0
11/18/23 1:45,12:33:00,15,14.9,100,52,96,100,0
11/18/23 1:45,12:33:03,15,14.9,100,52,96,100,0
11/18/23 1:45,12:33:04,15,15,100,52,96,100,0
11/18/23 1:45,12:33:05,15.1,15,100,52,96,100,0
11/18/23 1:45,12:33:11,15.1,15,100,52,96,100,0
11/18/23 1:45,12:33:12,15.1,15,100,52,96,100,0
11/18/23 1:45,12:33:16,15.1,15,100,52,96,100,0
11/18/23 1:45,12:33:17,15.2,15.1,100,52,96,100,0
11/18/23 1:45,12:33:24,15.2,15.1,100,52,96,100,0
11/18/23 1:45,12:33:25,15.2,15.1,100,52,96,100,0
11/18/23 1:45,12:33:26,15.2,15.1,100,52,96,100,0
11/18/23 1:45,12:33:27,15.2,15.2,100,52,96,100,0
11/18/23 1:45,12:33:28,15.2,15.2,100,52,96,100,0
11/18/23 1:46,12:33:29,15.3,15.2,100,52,96,100,0
11/18/23 1:46,12:33:30,15.3,15.2,100,52,96,100,0
11/18/23 1:46,12:33:32,15.3,15.2,100,52,96,100,0
11/18/23 1:46,12:33:34,15.3,15.2,100,52,96,100,0
11/18/23 1:46,12:33:37,15.3,15.2,100,52,96,100,0
11/18/23 1:46,12:33:38,15.3,15.2,100,52,96,100,0
11/18/23 1:46,12:33:39,15.3,15.2,100,52,96,100,0
11/18/23 1:46,12:33:40,15.3,15.3,100,52,96,100,0
11/18/23 1:46,12:33:41,15.4,15.3,100,52,96,100,0
11/18/23 1:46,12:33:42,15.4,15.3,100,52,96,100,0
11/18/23 1:46,12:33:52,15.5,15.3,100,52,96,100,0
11/18/23 1:46,12:33:53,15.5,15.4,100,52,96,100,0
11/18/23 1:46,12:33:54,15.5,15.4,100,52,96,100,0
11/18/23 1:46,12:34:01,15.5,15.4,100,52,96,100,0
11/18/23 1:46,12:34:03,15.5,15.5,100,52,96,100,0
11/18/23 1:46,12:34:05,15.6,15.5,100,52,96,100,0
11/18/23 1:46,12:34:15,15.6,15.5,100,52,96,100,0
11/18/23 1:46,12:34:16,15.6,15.6,100,52,96,100,0
11/18/23 1:46,12:34:17,15.7,15.6,100,52,95,100,0
11/18/23 1:46,12:34:19,15.7,15.6,100,52,95,100,0
11/18/23 1:46,12:34:20,15.7,15.6,100,52,96,100,0
11/18/23 1:46,12:34:21,15.7,15.6,100,52,95,100,0
11/18/23 1:46,12:34:26,15.7,15.6,100,52,95,100,0
11/18/23 1:46,12:34:27,15.7,15.7,100,52,95,100,0
11/18/23 1:47,12:34:29,15.8,15.7,100,52,95,100,0
11/18/23 1:47,12:34:40,15.8,15.7,100,52,95,100,0
11/18/23 1:47,12:34:41,15.9,15.8,100,52,95,100,0
11/18/23 1:47,12:34:51,15.9,15.8,100,52,95,100,0
11/18/23 1:47,12:34:52,15.9,15.9,100,52,95,100,0
11/18/23 1:47,12:34:53,16,15.9,100,52,95,100,0
11/18/23 1:47,12:34:59,16,15.9,100,52,95,100,0
11/18/23 1:47,12:35:00,16,15.9,100,52,94,100,0
11/18/23 1:47,12:35:01,16,15.9,100,52,94,100,0
11/18/23 1:47,12:35:02,16,16,100,52,95,100,0
11/18/23 1:47,12:35:03,16,16,100,52,96,100,0
11/18/23 1:47,12:35:04,16.1,16,100,52,96,100,0
11/18/23 1:47,12:35:13,16.1,16,100,52,96,100,0
11/18/23 1:47,12:35:14,16.1,16,100,52,97,100,0
11/18/23 1:47,12:35:15,16.1,16.1,100,52,97,100,0
11/18/23 1:47,12:35:16,16.2,16.1,100,52,97,100,0
11/18/23 1:47,12:35:17,16.2,16.1,100,52,97,100,0
11/18/23 1:47,12:35:18,16.2,16.1,100,52,97,100,0
11/18/23 1:47,12:35:19,16.2,16.1,100,52,97,100,0
11/18/23 1:47,12:35:20,16.2,16.1,100,52,97,100,0
11/18/23 1:47,12:35:26,16.2,16.1,100,52,97,100,0
11/18/23 1:47,12:35:27,16.2,16.1,100,52,96,100,0
11/18/23 1:47,12:35:28,16.2,16.2,100,52,96,100,0
11/18/23 1:48,12:35:29,16.3,16.2,100,52,96,100,0
11/18/23 1:48,12:35:38,16.3,16.2,100,52,96,100,0
11/18/23 1:48,12:35:39,16.3,16.3,100,52,96,100,0
11/18/23 1:48,12:35:40,16.3,16.2,100,52,96,100,0
11/18/23 1:48,12:35:41,16.4,16.3,100,52,96,100,0
11/18/23 1:48,12:35:44,16.4,16.3,100,52,96,100,0
11/18/23 1:48,12:35:45,16.4,16.3,100,52,97,100,0
11/18/23 1:48,12:35:47,16.4,16.3,100,52,97,100,0
11/18/23 1:48,12:35:48,16.4,16.3,100,52,97,100,0
11/18/23 1:48,12:35:50,16.4,16.3,100,52,97,100,0
11/18/23 1:48,12:35:51,16.4,16.4,100,52,97,100,0
11/18/23 1:48,12:35:53,16.5,16.4,100,52,97,100,0
11/18/23 1:48,12:36:02,16.5,16.4,100,52,97,100,0
11/18/23 1:48,12:36:03,16.5,16.5,100,52,97,100,0
11/18/23 1:48,12:36:04,16.5,16.5,100,52,97,100,0
11/18/23 1:48,12:36:05,16.6,16.5,100,52,98,100,0
11/18/23 1:48,12:36:06,16.6,16.5,100,52,98,100,0
11/18/23 1:48,12:36:07,16.6,16.5,100,52,98,100,0
11/18/23 1:48,12:36:08,16.6,16.5,100,52,98,100,0
11/18/23 1:48,12:36:09,16.6,16.5,100,52,98,100,0
11/18/23 1:48,12:36:13,16.6,16.5,100,52,98,100,0
11/18/23 1:48,12:36:14,16.6,16.6,100,52,98,100,0
11/18/23 1:48,12:36:16,16.7,16.6,100,52,98,100,0
11/18/23 1:48,12:36:19,16.7,16.6,100,52,98,100,0
11/18/23 1:48,12:36:20,16.7,16.6,100,52,98,100,0
11/18/23 1:48,12:36:21,16.7,16.6,100,52,98,100,0
11/18/23 1:48,12:36:22,16.7,16.6,100,52,98,100,0
11/18/23 1:48,12:36:24,16.7,16.6,100,52,98,100,0
